"location_clean","Latitude","Longitude"
"Fort Myer, Virginia",38.8930675,-77.0717699
"AtlantiCity, New Jersey",NA,NA
"Victoria, British Columbia, Canada",48.4283182,-123.364953
"Over the North Sea",52.9547847,0.852286
"Near Johannisthal, Germany",NA,NA
"Tienen, Belgium",50.8074825,4.9371775
"Off Cuxhaven, Germany",NA,NA
"Near Jambol, Bulgeria",NA,NA
"Billericay, England",51.6245474,0.4167616
"Potters Bar, England",51.6958889,-0.1848935
"Mainz, Germany",49.9995205,8.2736253
"Off West Hartlepool, England",54.6910151,-1.2335364
"Near Gent, Belgium",NA,NA
"Off Northern Germany",NA,NA
"Near Texel Island, North Sea",NA,NA
"Off Vlieland Island, North Sea",NA,NA
"Off western Denmark",-34.9648301,116.8322866
"Near Luneville, France",NA,NA
"Over the Mediterranean",NA,NA
"Off Helgoland Island, Germany",NA,NA
"Ameland Island, North Sea",NA,NA
"Elizabeth, New Jersey",40.6639916,-74.2107006
"Cleveland, Ohio",41.4996574,-81.6936772
"Dix Run, Pennsylvania",40.9078125,-77.9371383
"Newcastle, England",54.9738474,-1.6131572
"Cantonsville, Maryland",NA,NA
"English Channel",49.9892202,-2.2384698
"Long Valley, New Jersey",40.7816813,-74.7592328
"New Paris, Indiana",41.5045465,-85.8241113
"Newark, New Jersey",40.735657,-74.1723667
"Heller Field, New Jersey",40.9354609,-74.6611513
"Oskaloosa, Iowa",41.2951037,-92.6448451
"Bedford, England",52.1363806,-0.4675041
"College Park, Maryland",38.980666,-76.9369189
"Morristown, New Jersey",40.7970382,-74.4809868
"Pemberville, Ohio",41.4108855,-83.46104
"Hillersburg, Pennsylvania",NA,NA
"Off Port Vendres, France",NA,NA
"Valencia, Spain",39.4697065,-0.3763353
"Batavia, Illinois",41.8500284,-88.3125738
"Tie Siding, Wyoming",41.0812698,-105.5091717
"Cricklewood, England",51.5566986,-0.2157507
"Barcelona, Spain",41.3825802,2.177073
"Mendotta, Minnisota",NA,NA
"La Crosse, Wisconsin",43.8122836,-91.2514355
"Off Gibraltar",NA,NA
"Elko, Nevada",41.1958128,-115.3272864
"Point Cook, Australia",-37.9064862,144.7533059
"Mitchel Field, NY",40.7133021,-73.5753183
"Rock Springs, Wyoming",41.5860557,-109.2194544
"San Francisco, California",37.7792588,-122.4193286
"Toulouse, France",43.6044638,1.4442433
"River Humber, England",53.7124015,-0.3652257
"Paris, France",48.8534951,2.3483915
"Near Murchinson River, Australia",NA,NA
"Near Norfolk, Virginia",NA,NA
"Grandvilliers, France",49.6647765,1.9428278
"Pao Ting Fou, China",NA,NA
"Brooklands, England",53.4139076,-2.3213704
"Nittany Mt, Ohio",40.6800099,-80.8880089
"Off Folkestone, Kent, England",51.0790962,1.184157
"Cadix, Spain",36.5297438,-6.2928976
"Indianapolis, Indiana",39.7683331,-86.1583502
"Venice, Italy",45.4371908,12.3345898
"Larache, Morocco",35.1952327,-6.152913
"Fez, Morocco",34.0346534,-5.0161926
"Ajaccio, France",41.9263991,8.7376029
"Cheyenne, Wyoming",41.139981,-104.820246
"Meadville, Pennsylvania",41.641445,-80.151449
"Monsures, France",49.7095701,2.1701394
"Bucharest, Romania",44.4361414,26.1027202
"Colton, Ohio",41.4647742,-83.9524442
"Berks, England",51.4534889,-1.031873
"Russia",64.6863136,97.7453061
"Castalia, Ohio",41.4000523,-82.8085204
"Over the Mediterranean Sea",NA,NA
"Egbert, WY",41.1710716,-104.2552567
"Grampian, Pennsylvania",40.9658932,-78.6130822
"Over the English Channel",NA,NA
"Barranquilla, Colombia",11.0101922,-74.8231794
"United States",39.7837304,-100.445882
"Cabrerolles, France",43.5445,3.12514
"Goshen, Indiana",41.5850394,-85.8344491
"Purley, England",51.3388112,-0.1158589
"Near Tiflies, Georgia, USSR",NA,NA
"Alicante, Spain",38.3436365,-0.4881708
"Landrécies, France",50.1250142,3.6913023
"Rosas, Spain",42.2632018,3.1755328
"Budapest, Hungary",47.4813896,19.1460941
"Caldwell, Ohio",39.7478508,-81.5165127
"Toul, France",48.6762624,5.8941759
"Off Boulogne-sur-Mer, France",50.5147177,1.6374135
"Montpelier, Ohio",41.5844951,-84.6055076
"Staaken, Germany",52.5322705,13.1433666
"Rossaugpt, Czechoslovakia",NA,NA
"Wolvertem, Belgium",50.9510266,4.3085198
"Juist, Germany",53.6784483,6.9956079
"Hurst, Kent, England",51.1818659,0.9838183
"New York, New York",40.7127281,-74.0060152
"Bueren, Germany",51.5525333,8.5591919
"Cape Bojador, Morocco",26.1233266,-14.5005584
"Medford, Oregon",42.3264181,-122.8718605
"Lille, France",50.6365654,3.0635282
"Rabat, Morocco",34.0218454,-6.8408929
"Tambo, Qld, Australia",-24.9071275,146.3312403
"King Hill, Idaho",44.5204431,-116.3345874
"Floh, Germany",50.7552399,10.4827041
"Algiers, Algeria",36.7729333,3.0588445
"Amoneburg, Germany",50.7779,8.9229
"Sevenoaks, England",51.2745218,0.1961166
"Willington, Connecticut",41.8757947,-72.2642761
"Hadley, New Jersey",40.565084,-74.4814849
"Saale, Germany",50.3544747,11.8698874
"Schleiz, Germany",50.5590505,11.8040013
"Thies, Mauritania",NA,NA
"New Brunswick, New Jersey",40.4951365,-74.4439254
"Strasburg, France",48.584614,7.7507127
"Over the Gulf of Finland",NA,NA
"Corunna, Indiana",41.4372721,-85.1471934
"Almeria, Spain",36.8414197,-2.4628135
"Abuerio, Spain",NA,NA
"France",46.603354,1.8883335
"Near Canajoharie, New York",NA,NA
"Solis, Uruguay",-34.7923733,-55.3837161
"Tarragona, Spain",41.1172364,1.2546057
"Marquette, Nebraska",41.0070132,-98.0114268
"Rio de Janeiro, Brazil",-22.9110137,-43.2093727
"Off Cape Griz Nez, France",NA,NA
"Federal, Wyoming",38.8898202,-77.0402445
"Minuesa, Spain",39.6903253,-4.4273603
NA,NA,NA
"Dearborn, Minnesota",44.9194615,-93.3905915
"Radevormwald, Germany",51.2029228,7.3571392
